id,category,superclass,marker,affirmative,negated
1,Approximate negators,Scalar / restrictive,hardly ever,The teachers often know the answer.,The teachers hardly ever know the answer.
2,Prepositional negation,Lexical negation,devoid of,The offer has a guarantee.,The offer is devoid of a guarantee.
3,Correlative negation,Negative quantifiers,neither...nor,Both the file and the backup are documented.,Neither the file nor the backup is documented.
4,Partial negation,Negative quantifiers,not every,Every sensor is damaged.,Not every sensor is damaged.
5,Partial negation,Negative quantifiers,not all,All employees are available.,Not all employees are available.
6,Negative imperatives,Clausal / discourse,never,Always cross the line at the venue.,Never cross the line at the venue.
7,Do-support auxiliary,Particle,didn't,The athletes supported the initiative.,The athletes didn't support the initiative.
8,Neg-raising,Clausal / discourse,doesn't think,She thinks that the client will renew.,She doesn't think the client will renew.
9,Prepositional negation,Lexical negation,lacking,The speech has supporting examples.,The speech is lacking supporting examples.
10,Affixial negation,Affixial,uncomfortable,The witness is comfortable.,The witness is uncomfortable.
11,Modals,Particle,won't,The visitors will believe the rumor.,The visitors won't believe the rumor.
12,Correlative negation,Negative quantifiers,neither...nor,Both the report and the summary are published.,Neither the report nor the summary is published.
13,Restrictive/exclusive particles,Scalar / restrictive,only,Several people showed interest.,Only the coordinator showed interest.
14,Partial negation,Negative quantifiers,not every,Every report is current.,Not every report is current.
15,Copula,Particle,is not,The router is accurate.,The router is not accurate.
16,Inherent negative verbs/adjectives,Lexical negation,rejected,The analyst approved the design.,The analyst rejected the design.
17,Approximate negators,Scalar / restrictive,rarely,The coaches often recall the details.,The coaches rarely recall the details.
18,Approximate negators,Scalar / restrictive,scarcely ever,The employees often know the answer.,The employees scarcely ever know the answer.
19,Copula,Particle,isn't,The printer is popular.,The printer isn't popular.
20,Approximate negators,Scalar / restrictive,few,Many components were rejected.,Few components were rejected.
21,Affixial negation,Affixial,uncomfortable,The lawyers are comfortable.,The lawyers are uncomfortable.
22,Correlative negation,Negative quantifiers,neither...nor,Both the actor and the director are satisfied.,Neither the actor nor the director is satisfied.
23,Do-support auxiliary,Particle,didn't,The workers read the manual.,The workers didn't read the manual.
24,Affixial negation,Affixial,disconnected,The engine is connected.,The engine is disconnected.
25,Restrictive/exclusive particles,Scalar / restrictive,only,Several people passed the exam.,Only the delegate passed the exam.
26,Conditional negation,Clausal / discourse,unless,"If you confirm the order, the invoice will be overdue.","Unless you confirm the order, the invoice will be overdue."
27,Do-support auxiliary,Particle,did not,The referee arrived on time.,The referee did not arrive on time.
28,Do-support auxiliary,Particle,didn't,The students finished the report.,The students didn't finish the report.
29,Modals,Particle,will not,The farmers will know the answer.,The farmers will not know the answer.
30,Approximate negators,Scalar / restrictive,rarely,The teachers often complete the assignment.,The teachers rarely complete the assignment.
31,Approximate negators,Scalar / restrictive,barely ever,The actors often follow the instructions.,The actors barely ever follow the instructions.
32,Affixial negation,Affixial,immature,The pilot is mature.,The pilot is immature.
33,Prepositional negation,Lexical negation,minus,The apartment has an elevator.,The apartment is minus an elevator.
34,Copula,Particle,isn't,The memo is complete.,The memo isn't complete.
35,Neg-raising,Clausal / discourse,don't believe,They believe that the report is complete.,They don't believe the report is complete.
36,Correlative negation,Negative quantifiers,neither...nor,Both the north gate and the south gate are charged.,Neither the north gate nor the south gate is charged.
37,Copula,Particle,isn't,The editor is consistent.,The editor isn't consistent.
38,Approximate negators,Scalar / restrictive,rarely,The visitors often agree with the decision.,The visitors rarely agree with the decision.
39,Conditional negation,Clausal / discourse,unless,"If you call support, the deal will be canceled.","Unless you call support, the deal will be canceled."
40,Partial negation,Negative quantifiers,not every,Every camera is approved.,Not every camera is approved.
41,Exceptors,Negative quantifiers,but for,Every guest is present.,Every guest is present but for the new intern.
42,Affixial negation,Affixial,illegal,The survey is legal.,The survey is illegal.
43,Correlative negation,Negative quantifiers,neither...nor,Both the teacher and the student are insured.,Neither the teacher nor the student is insured.
44,Prepositional negation,Lexical negation,devoid of,The product has a warranty.,The product is devoid of a warranty.
45,Copula,Particle,are not,The professors are efficient.,The professors are not efficient.
46,Affixial negation,Affixial,unusual,The company is usual.,The company is unusual.
47,Negative imperatives,Clausal / discourse,no + gerund,Ignoring the warning in the workshop is allowed.,No ignoring the warning in the workshop.
48,Exceptors,Negative quantifiers,except,Every component is accounted for.,Every component is accounted for except the older version.
49,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The auditor is smart.,"The auditor is not smart, the auditor is brilliant."
50,Inherent negative verbs/adjectives,Lexical negation,violated,The officers honored the agreement.,The officers violated the agreement.
51,Modals,Particle,should not,The software should exceed capacity.,The software should not exceed capacity.
52,Inherent negative verbs/adjectives,Lexical negation,denied,The customer granted access.,The customer denied access.
53,Conditional negation,Clausal / discourse,unless,"If you complete the training, the ticket will be closed.","Unless you complete the training, the ticket will be closed."
54,Conditional negation,Clausal / discourse,unless,"If you schedule the appointment, the project will be paused.","Unless you schedule the appointment, the project will be paused."
55,Copula,Particle,aren't,The lawyers are transparent.,The lawyers aren't transparent.
56,Negative imperatives,Clausal / discourse,no + gerund,Bringing outside food during the ceremony is allowed.,No bringing outside food during the ceremony.
57,Sentential negative quantifiers,Negative quantifiers,nothing,Something needed fixing after the call.,Nothing needed fixing after the call.
58,Partial negation,Negative quantifiers,not all,All volunteers are trained.,Not all volunteers are trained.
59,Prepositional negation,Lexical negation,minus,The building has security cameras.,The building is minus security cameras.
60,Double negation / negative concord,Double negation,not incorrect,The scanner is correct.,The scanner is not incorrect.
61,Inherent negative verbs/adjectives,Lexical negation,resisted,The participants welcomed the change.,The participants resisted the change.
62,Neg-raising,Clausal / discourse,don't suppose,They suppose that the review is positive.,They don't suppose the review is positive.
63,Aspectual/presuppositional negation,Clausal / discourse,no longer,The lawyer still runs marathons.,The lawyer no longer runs marathons.
64,Modals,Particle,should not,The witnesses should care about the outcome.,The witnesses should not care about the outcome.
65,Exceptors,Negative quantifiers,except,Every customer is present.,Every customer is present except the late arrival.
66,Affixial negation,Affixial,unusual,The report is usual.,The report is unusual.
67,Copula,Particle,is not,The argument is sufficient.,The argument is not sufficient.
68,Approximate negators,Scalar / restrictive,rarely,The athletes often arrive on time.,The athletes rarely arrive on time.
69,Exceptors,Negative quantifiers,other than,Every engineer is present.,Every engineer is present other than the extra guest.
70,Restrictive/exclusive particles,Scalar / restrictive,just,Several people attended the ceremony.,Just the mentor attended the ceremony.
71,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The printer is slow.,"The printer is not slow, the printer is sluggish."
72,Affixial negation,Affixial,unknown,The algorithm is known.,The algorithm is unknown.
73,Double negation / negative concord,Double negation,not irrelevant,The committee is relevant.,The committee is not irrelevant.
74,Conditional negation,Clausal / discourse,unless,"If you schedule the appointment, the order will be delayed.","Unless you schedule the appointment, the order will be delayed."
75,Aspectual/presuppositional negation,Clausal / discourse,no longer,The auditor still leads the team.,The auditor no longer leads the team.
76,Prepositional negation,Lexical negation,without,The account has a password.,The account is without a password.
77,Restrictive/exclusive particles,Scalar / restrictive,only,Several people qualified for the finals.,Only the recruiter qualified for the finals.
